having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report
-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0
-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0
0.95137286,0.0,1.0,0.9657191,0.9217539,0.0,0.04096654,0.997833,0.0,0.0,0.0,1.0,0.97951216,0.016267695,0.0,0.0,0.0,0.979205,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.93503326,0.9590086,1.0,0.9965346,1.0,0.0,0.04616028,0.0,1.0,1.0,0.97162557,0.0479483,0.87512046,1.0,0.95304435,0.98674446,0.9467714,1.0,1.0,0.0,0.0,0.0,1.0
0.9972854,0.0,0.9885362,1.0,1.0,0.0,0.974162,0.8675167,0.0,0.9144921,1.0,1.0,1.0,0.057786018,0.0,0.0,1.0,0.95956576,0.0,0.99659073,1.0,1.0,1.0,0.9686928,1.0,1.0,0.0,1.0,0.0,1.0
0.95603865,0.0,1.0,1.0,1.0,0.0,0.066616505,0.95720625,0.99519616,0.9688652,1.0,1.0,0.0,0.056788117,0.0,0.0,1.0,0.9759158,0.0,1.0,1.0,1.0,0.9165997,0.0,1.0,0.98206764,0.0,1.0,0.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,1.0
1.0,0.0,0.9125849,0.97710943,0.95311874,0.0,1.0,0.9692648,0.0,1.0,0.99596745,0.9724124,0.96050525,0.0,0.014215246,0.0,0.9547236,1.0,0.0,0.9221933,1.0,1.0,1.0,0.99699277,1.0,0.029677302,0.0,1.0,0.0,1.0
1.0,1.0,0.966827,1.0,0.950316,0.9562017,0.05446434,0.0,0.0,0.9947138,0.9850194,1.0,1.0,0.0,0.040222898,1.0,1.0,1.0,0.013815843,1.0,1.0,0.9406866,0.93817043,0.96594304,0.9879817,0.9434486,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.9987101,0.0,0.9981689,0.99941534,0.9999299,1.0,1.0,0.9987016,0.0,0.99930376,0.0,0.0005990979,0.0,1.0,1.0,0.0,0.9992707,0.9984797,1.0,1.0,1.0,0.0,0.9972988,0.0,1.0,0.9993766,0.9990419
1.0,0.0,1.0,1.0,0.98746324,0.0,1.0,0.9485605,0.0,1.0,0.9422215,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.95871294,1.0,0.9956216,0.9644548,1.0,0.0,0.0,0.0,0.924827,1.0,1.0
1.0,0.0,1.0,0.9575926,1.0,0.0,0.9352003,0.9419097,0.0,1.0,1.0,1.0,0.9978103,0.98134696,0.0024876222,1.0,1.0,1.0,0.0,1.0,1.0,0.9178731,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,0.9755757,0.0,1.0,0.98049116,1.0,0.8953169,0.99035597,0.940024,1.0,0.0,0.0,0.0,0.91864204,0.94110477,0.0,1.0,0.97342634,1.0,1.0,0.0,1.0,1.0,0.0,0.9714396,1.0,0.999333
-1.0,1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
0.97577703,1.0,1.0,0.97289366,0.9789304,0.0,0.9828508,0.9613725,0.0,0.95541835,1.0,1.0,0.97146857,0.02937223,0.0,0.025522217,1.0,0.98854816,0.0035606902,1.0,1.0,0.97535455,0.9929907,1.0,1.0,0.97058004,0.9964983,1.0,0.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.9816141,1.0,0.0,0.005348772,0.9694903,1.0,1.0,1.0,0.96944296,1.0,0.0,0.0,0.0,1.0,0.98854035,0.0,0.95653945,1.0,1.0,0.95704615,0.93073726,1.0,1.0,0.0,1.0,0.96939546,0.9845208
1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
1.0,0.0,1.0,0.9865203,0.98033816,1.0,0.988292,0.9952869,0.0,1.0,1.0,1.0,1.0,1.0,0.9917251,0.0,0.97827715,0.9878265,0.0,0.99828583,1.0,0.97068745,0.978379,1.0,1.0,0.98699224,0.0,0.0,0.01264751,1.0
0.9357121,0.0,1.0,1.0,1.0,0.0,0.0,0.998908,0.0,0.97816664,0.9640283,0.9827404,1.0,0.049491137,0.0,0.0,1.0,1.0,0.05368024,1.0,0.9699965,0.92884946,1.0,0.0,1.0,1.0,1.0,0.9767482,0.02454415,0.93975884
1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0
0.9880925,0.0,1.0,1.0,1.0,0.0,1.0,0.9055976,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9933112,0.9179391,0.0,0.0,0.0,1.0,0.9637061,1.0
1.0,0.0,1.0,0.9728507,0.9062626,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9067197,0.978556,1.0,1.0,0.0,0.95739156,0.89423686,0.0,1.0,0.0,0.9989672
1.0,0.0,1.0,0.97057915,1.0,0.0,1.0,0.96248865,0.0,0.9803077,1.0,0.9502593,0.9905537,0.9069605,0.0,1.0,0.9351198,1.0,0.9983189,0.9250773,0.95699203,1.0,0.9453991,0.0,1.0,1.0,1.0,1.0,1.0,0.97156185
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.994784,0.0,0.0,0.0,1.0,0.94973004,0.10825062,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9449562,0.0,0.9725577,1.0,0.0,1.0,0.0,0.9490428
0.0,0.0,1.0,1.0,0.9841627,0.0,0.0,0.93558836,0.0,1.0,1.0,0.90466887,1.0,1.0,0.050442934,0.0,0.96236515,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.96650857,1.0
0.936789,0.0,1.0,0.9549321,1.0,0.0,1.0,0.9353279,0.0,1.0,1.0,1.0,1.0,0.9836106,0.045391858,0.0,1.0,0.912431,0.0042692367,1.0,0.9941243,1.0,1.0,0.0,1.0,0.07560688,0.0,1.0,0.0,0.93000865
0.0,0.0,1.0,0.99951386,1.0,0.0,0.9646913,0.9416506,0.97464764,0.99296147,1.0,0.97703564,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97952026,0.0,1.0,0.0,1.0,1.0,0.0,0.91997385
0.0,1.0,0.895491,0.0,0.9990553,0.8840812,1.0,0.9674336,0.0,1.0,1.0,0.92875195,1.0,0.9525981,0.0,0.0,0.0,0.0,0.0,1.0,0.9288151,0.96488893,1.0,0.9752111,0.98972213,0.0,0.9837206,0.98560953,1.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,0.9937994,0.0,1.0,0.9281232,0.0,0.949272,1.0,0.92458963,0.0,0.05939731,1.0,1.0,0.9920161,1.0,0.0,0.95378745,1.0,0.9598584,0.90199506,0.99392486,1.0,0.0,0.0,0.94981724,0.0,0.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.99617666,0.9429081,1.0,0.0,0.0,1.0,0.0,1.0,0.986792,1.0,1.0,0.046307534,0.0,0.0,0.9560807,0.9287333,0.0,0.95174277,1.0,0.9508463,1.0,1.0,0.965475,0.0,0.0,0.0,1.0,1.0
0.0,0.0,1.0,0.9718289,1.0,0.0,0.8602325,0.98875093,0.0,0.9337721,1.0,0.0,0.0,1.0,0.9217309,0.0,1.0,0.91845614,0.014877632,0.97249705,1.0,0.9745116,0.9273095,0.0,1.0,1.0,1.0,1.0,0.0,0.966682
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,1.0
0.0,0.88624346,0.0,1.0,0.0,0.92809176,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.99699265,1.0,0.98771715,1.0,0.0,1.0,1.0,1.0,0.9567956,0.92533135,1.0,0.98706114,0.9234005,0.0,0.0,0.9664508,0.0
0.999717,0.0,1.0,1.0,1.0,0.99017173,1.0,0.99436134,0.0,0.99836844,0.9987531,0.0,0.99208385,0.979021,0.0,0.0,0.9825326,0.9790159,0.0,0.9865403,0.98438126,0.9761571,0.9846398,0.99330854,0.0,1.0,0.0,0.9608425,0.0,1.0
1.0,0.0,0.9270458,1.0,0.98245215,0.0,0.016152084,0.95161027,1.0,1.0,1.0,0.9172621,0.0,1.0,0.94673,0.0,1.0,1.0,0.0,1.0,0.9806472,1.0,0.9987491,0.0,0.9920464,0.9448299,0.0,0.98892677,0.010870203,0.0
1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.9246671,0.0,0.8602325,1.0,0.9440232,0.9689578,0.9779608,1.0,0.0,0.9583492,1.0,1.0,0.996748,0.962942,1.0,1.0,0.0,0.9949768,0.9522214,0.0,1.0,0.0,0.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.949967,0.8798204,0.96633595,1.0,1.0,0.0,0.08767635,0.0,1.0,1.0,0.962255,0.9954754,0.96233624,1.0,1.0,1.0,0.0,1.0,0.053417683,0.0,1.0,1.0,1.0
0.98456305,1.0,0.91897297,0.0,1.0,0.0,0.0,0.97603184,0.0,1.0,0.9573866,1.0,1.0,0.12997311,0.960855,1.0,1.0,1.0,0.0,1.0,1.0,0.99789095,0.95449984,0.0,1.0,1.0,0.0,0.98936576,0.0,0.9874044
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9783782,0.0,1.0,0.9437381,1.0,0.9073248,0.97917396,0.01082474,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9399645,1.0,1.0,1.0,1.0,1.0,0.0,1.0
0.97543806,0.0,1.0,0.0,1.0,0.0,0.9810497,0.90870804,0.0,0.9673186,1.0,1.0,0.9983329,0.0,0.993746,0.0,0.0,0.0,0.0,0.9597596,1.0,0.96305096,0.9730416,0.0,0.9649645,1.0,0.0,0.9687877,0.0,1.0
0.0,0.999815,0.0,0.0,0.0,0.99987406,0.9990449,0.99929833,0.0,1.0,0.9999878,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9998487,1.0,0.99986804,0.9999362,1.0,0.99911094,0.0,1.0,0.9998023,1.0,0.999893,1.0
0.95469314,0.0,1.0,0.97589946,0.94963646,0.0,0.0,0.9982851,1.0,0.9339925,1.0,0.95564115,1.0,0.0040635504,0.0,0.0,0.9545659,1.0,0.0,1.0,0.92184246,1.0,1.0,0.9620844,1.0,0.0,0.9883529,0.9454739,0.0,1.0
1.0,0.9694302,1.0,0.9776471,1.0,0.0,1.0,0.94917816,1.0,0.0,0.93741643,0.9899581,0.0,0.0,0.0010600225,0.0,1.0,0.96570045,0.029578164,0.0,0.9431398,0.0,0.94887304,1.0,0.9694203,1.0,1.0,0.9672166,0.0,1.0
1.0,1.0,0.9936249,0.96065986,1.0,0.9845522,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.029321104,1.0,1.0,1.0,0.036572322,0.9630374,1.0,1.0,0.98162115,0.0,0.0,0.9782839,0.0,0.9826073,1.0,0.9860409
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,1.0,0.99755245,1.0,0.9923668,0.0,0.0,0.0,0.99406856,0.0,1.0,1.0,0.0,0.0,0.9751547,0.011166081,0.0,0.98501647,0.0,0.0,0.0,1.0,1.0,0.0,0.95784396,1.0,0.98449737
1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0
1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,0.0,0.1127764,0.9563011,0.0,0.95811546,1.0,1.0,0.9445509,0.9894439,0.03469868,0.0,1.0,0.968808,0.025749132,1.0,0.98787355,1.0,1.0,0.0,1.0,0.98591673,0.0,0.9291047,0.020045869,1.0
1.0,0.0,1.0,0.8973629,1.0,0.0,0.09765732,0.99175656,0.0,1.0,0.99580973,1.0,0.0,0.99249077,0.0,0.99957985,0.9728833,0.9372558,0.0,1.0,1.0,1.0,1.0,0.9477312,1.0,1.0,0.0,1.0,0.0,1.0
