tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,default,0.5000000000000001,2.400018274784088e-06,5.2900053560733795e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,validation_f1,1.0,2.400018274784088e-06,5.2900053560733795e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.400018274784088e-06,5.2900053560733795e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,default,0.5000000000000001,2.400018274784088e-06,7.970002479851246e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,validation_f1,1.0,2.400018274784088e-06,7.970002479851246e-05
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.400018274784088e-06,7.970002479851246e-05
1369,187,319,1198,0.8353400585746827,0.8649819494584837,0.7897165458141068,0.8256374913852516,0.12017994858611825,0.8798200514138818,0.8347682986139943,0.9364943705576451,0.930786137570262,0.4506996420436056,3073,iscx,iscx,logistic,11,default,5e-324,0.03290300001390278,0.000668299850076437
1298,258,181,1336,0.8571428571428571,0.8381430363864492,0.8806855636123929,0.8588878174220508,0.16580976863753213,0.8341902313624678,0.8574378974874304,0.9364943705576451,0.930786137570262,0.5187113569801497,3073,iscx,iscx,logistic,11,validation_f1,-0.47409725189208984,0.03290300001390278,0.000668299850076437
1545,11,772,745,0.7452001301659616,0.9854497354497355,0.4911008569545155,0.6555213374395072,0.007069408740359897,0.9929305912596401,0.7420157241070778,0.9364943705576451,0.930786137570262,0.2460136674259681,3073,iscx,iscx,logistic,11,validation_fpr_limit,2.386249542236328,0.03290300001390278,0.000668299850076437
160,5440,1008,5121,0.450251513342996,0.4848972635167124,0.8355359765051396,0.6136608747753146,0.9714285714285714,0.02857142857142857,0.43205370253828407,0.3515997250176772,0.1256767300654966,0.9004177679256543,11729,iscx,mendeley,logistic,11,default,5e-324,0.03290300001390278,0.0008383002132177353
115,5485,811,5318,0.46321084491431497,0.49227066555586413,0.8676782509381629,0.6281596976139854,0.9794642857142857,0.020535714285714286,0.4441069826119386,0.3515997250176772,0.1256767300654966,0.9210503879273595,11729,iscx,mendeley,logistic,11,validation_f1,-0.47409725189208984,0.03290300001390278,0.0008383002132177353
330,5270,2280,3849,0.3562963594509336,0.42208575501699747,0.6279980420949584,0.5048530954879329,0.9410714285714286,0.05892857142857143,0.3434633067617649,0.3515997250176772,0.1256767300654966,0.7774746355187996,11729,iscx,mendeley,logistic,11,validation_fpr_limit,2.386249542236328,0.03290300001390278,0.0008383002132177353
1421,135,162,1355,0.9033517735112269,0.9093959731543624,0.8932102834541858,0.9012304622547389,0.08676092544987146,0.9132390745501285,0.9032246790021572,0.9696995823745295,0.9632381848900124,0.48486820696387894,3073,iscx,iscx,random_forest,11,default,0.5000000000000001,0.4919945001602173,0.03715069987811148
1421,135,161,1356,0.9036771884152294,0.9094567404426559,0.8938694792353329,0.901595744680851,0.08676092544987146,0.9132390745501285,0.9035542768927307,0.9696995823745295,0.9632381848900124,0.48519362186788156,3073,iscx,iscx,random_forest,11,validation_f1,0.5,0.4919945001602173,0.03715069987811148
1525,31,275,1242,0.9004230393752034,0.9756480754124116,0.8187211601845749,0.8903225806451613,0.01992287917737789,0.9800771208226221,0.8993991405035985,0.9696995823745295,0.9632381848900124,0.41425317279531404,3073,iscx,iscx,random_forest,11,validation_fpr_limit,0.8085873015873015,0.4919945001602173,0.03715069987811148
117,5483,594,5535,0.4818825134282548,0.5023597749137775,0.9030837004405287,0.6455939814544819,0.9791071428571428,0.020892857142857144,0.4619882787916929,0.46141244709692597,0.37953355534578004,0.9393810213999488,11729,iscx,mendeley,random_forest,11,default,0.5000000000000001,0.4919945001602173,0.048517600167542696
117,5483,589,5540,0.4823088072299429,0.5025855030391001,0.9038994942078643,0.6459888059701493,0.9791071428571428,0.020892857142857144,0.46239617567536073,0.46141244709692597,0.37953355534578004,0.939807315201637,11729,iscx,mendeley,random_forest,11,validation_f1,0.5,0.4919945001602173,0.048517600167542696
159,5441,924,5205,0.45732799045101885,0.4889160247980462,0.8492413117963779,0.6205663189269747,0.9716071428571429,0.028392857142857143,0.4388170844696175,0.46141244709692597,0.37953355534578004,0.9076647625543525,11729,iscx,mendeley,random_forest,11,validation_fpr_limit,0.8085873015873015,0.4919945001602173,0.048517600167542696
1461,95,314,1203,0.8669053042629352,0.9268104776579353,0.7930125247198417,0.8547069271758437,0.061053984575835475,0.9389460154241646,0.8659792700720031,0.9558689129426485,0.9500498209664928,0.4223885453953791,3073,iscx,iscx,mlp,11,default,5e-324,6.439470099983737,0.0035844999365508556
1369,187,173,1344,0.8828506345590628,0.8778576094056172,0.8859591298615689,0.8818897637795275,0.12017994858611825,0.8798200514138818,0.8828895906377253,0.9558689129426485,0.9500498209664928,0.4982102180279857,3073,iscx,iscx,mlp,11,validation_f1,-0.6458638906478882,6.439470099983737,0.0035844999365508556
1538,18,573,944,0.8076797917344615,0.9812889812889813,0.6222808174027686,0.7615974183138362,0.011568123393316195,0.9884318766066839,0.8053563470047262,0.9558689129426485,0.9500498209664928,0.3130491376505044,3073,iscx,iscx,mlp,11,validation_fpr_limit,1.5611151456832886,6.439470099983737,0.0035844999365508556
175,5425,1033,5096,0.44939892573961976,0.48436460412508314,0.8314570076684614,0.6121321321321321,0.96875,0.03125,0.4313535038342307,0.351750040708887,0.12841622380719298,0.8970074175121494,11729,iscx,mendeley,mlp,11,default,5e-324,6.439470099983737,0.020284099970012903
134,5466,774,5355,0.4679853354932219,0.49487108400332686,0.8737151248164464,0.631858407079646,0.9760714285714286,0.023928571428571428,0.4488218481225089,0.351750040708887,0.12841622380719298,0.9225850456134368,11729,iscx,mendeley,mlp,11,validation_f1,-0.6458638906478882,6.439470099983737,0.020284099970012903
262,5338,1658,4471,0.40352971267797766,0.4558058925476603,0.7294827867515092,0.5610490651273685,0.9532142857142857,0.046785714285714285,0.3881342505186118,0.351750040708887,0.12841622380719298,0.8363031801517606,11729,iscx,mendeley,mlp,11,validation_fpr_limit,1.5611151456832886,6.439470099983737,0.020284099970012903
1453,103,295,1222,0.8704848682069639,0.9222641509433962,0.8055372445616348,0.8599577762139339,0.06619537275064268,0.9338046272493573,0.869670935905496,0.9538342559719164,0.9488945337587887,0.4311747478034494,3073,iscx,iscx,dqn,11,default,5e-324,3.2645030000712723,0.040597200160846114
1370,186,209,1308,0.8714611129189717,0.8755020080321285,0.8622280817402769,0.8688143473928928,0.11953727506426735,0.8804627249357326,0.8713454033380048,0.9538342559719164,0.9488945337587887,0.48616986657988936,3073,iscx,iscx,dqn,11,validation_f1,-0.16191387176513672,3.2645030000712723,0.040597200160846114
1540,16,578,939,0.8067035470224536,0.9832460732984293,0.6189848384970337,0.7597087378640777,0.010282776349614395,0.9897172236503856,0.8043510310737096,0.9538342559719164,0.9488945337587887,0.3107712333224862,3073,iscx,iscx,dqn,11,validation_fpr_limit,0.9861483573913574,3.2645030000712723,0.040597200160846114
159,5441,968,5161,0.45357660499616337,0.4867949443501226,0.8420623266438244,0.616938616938617,0.9716071428571429,0.028392857142857143,0.43522759189334076,0.35052993836007934,0.12114307274549566,0.9039133770994969,11729,iscx,mendeley,dqn,11,default,5e-324,3.2645030000712723,0.04528560000471771
149,5451,878,5251,0.46039730582317334,0.4906559521584751,0.8567466144558655,0.623967678688135,0.9733928571428572,0.026607142857142857,0.4416768786565042,0.35052993836007934,0.12114307274549566,0.9124392531332595,11729,iscx,mendeley,dqn,11,validation_f1,-0.16191387176513672,3.2645030000712723,0.04528560000471771
261,5339,1671,4458,0.40233609003325094,0.4550372563029499,0.7273617229564366,0.5598392565615974,0.9533928571428572,0.046607142857142854,0.38698443290678974,0.35052993836007934,0.12114307274549566,0.8352800750277091,11729,iscx,mendeley,dqn,11,validation_fpr_limit,0.9861483573913574,3.2645030000712723,0.04528560000471771
1448,108,241,1276,0.8864301985030915,0.9219653179190751,0.8411338167435728,0.8796966563254051,0.06940874035989718,0.9305912596401028,0.8858625381918378,0.9543626790108647,0.9492876788005009,0.450374227139603,3073,iscx,iscx,ddqn,11,default,5e-324,2.2971554999239743,0.006761299911886454
1371,185,209,1308,0.8717865278229743,0.8760884125920965,0.8622280817402769,0.8691029900332226,0.11889460154241645,0.8811053984575835,0.8716667400989302,0.9543626790108647,0.9492876788005009,0.48584445167588675,3073,iscx,iscx,ddqn,11,validation_f1,-0.13420677185058594,2.2971554999239743,0.006761299911886454
1539,17,556,961,0.8135372600065083,0.9826175869120655,0.6334871456822676,0.7703406813627255,0.010925449871465296,0.9890745501285347,0.8112808479054012,0.9543626790108647,0.9492876788005009,0.31825577611454603,3073,iscx,iscx,ddqn,11,validation_fpr_limit,0.9647589921951294,2.2971554999239743,0.006761299911886454
155,5445,950,5179,0.4547702276408901,0.4874811746987952,0.8449991842062327,0.6182773234644541,0.9723214285714286,0.027678571428571427,0.43633887781740205,0.3469594203997981,0.1203324505279351,0.9057890698269248,11729,iscx,mendeley,ddqn,11,default,5e-324,2.2971554999239743,0.01667989999987185
149,5451,878,5251,0.46039730582317334,0.4906559521584751,0.8567466144558655,0.623967678688135,0.9733928571428572,0.026607142857142857,0.4416768786565042,0.3469594203997981,0.1203324505279351,0.9124392531332595,11729,iscx,mendeley,ddqn,11,validation_f1,-0.13420677185058594,2.2971554999239743,0.01667989999987185
255,5345,1612,4517,0.406854804331145,0.4580206854593389,0.7369880894109969,0.5649427803139265,0.9544642857142858,0.045535714285714284,0.3912619018483556,0.3469594203997981,0.1203324505279351,0.8408218944496547,11729,iscx,mendeley,ddqn,11,validation_fpr_limit,0.9647589921951294,2.2971554999239743,0.01667989999987185
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,mendeley,iscx,always_malicious,11,default,0.5000000000000001,7.939990609884262e-05,5.7399971410632133e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,mendeley,iscx,always_malicious,11,validation_f1,1.0,7.939990609884262e-05,5.7399971410632133e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,mendeley,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,7.939990609884262e-05,5.7399971410632133e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,mendeley,mendeley,always_malicious,11,default,0.5000000000000001,7.939990609884262e-05,0.00012229988351464272
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,mendeley,mendeley,always_malicious,11,validation_f1,1.0,7.939990609884262e-05,0.00012229988351464272
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,mendeley,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,7.939990609884262e-05,0.00012229988351464272
2,1554,2,1515,0.4936544093719492,0.49364613880742914,0.998681608437706,0.6607064980375055,0.9987146529562982,0.0012853470437017994,0.4999834777407039,0.47254907174153826,0.2908370939125218,0.9986983403839896,3073,mendeley,iscx,logistic,11,default,5e-324,0.07408010005019605,0.0005747000686824322
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.47254907174153826,0.2908370939125218,1.0,3073,mendeley,iscx,logistic,11,validation_f1,-0.9914124011993408,0.07408010005019605,0.0005747000686824322
988,568,1148,369,0.4415880247315327,0.39381003201707576,0.24324324324324326,0.30073349633251834,0.36503856041131105,0.6349614395886889,0.43910234141596605,0.47254907174153826,0.2908370939125218,0.3049137650504393,3073,mendeley,iscx,logistic,11,validation_fpr_limit,3.0578999519348145,0.07408010005019605,0.0005747000686824322
4496,1104,867,5262,0.8319549833745418,0.8265786993402451,0.8585413607440039,0.8422569027611044,0.19714285714285715,0.8028571428571428,0.8306992518005734,0.8703285560103796,0.8942505477472438,0.5427572683093188,11729,mendeley,mendeley,logistic,11,default,5e-324,0.07408010005019605,0.0005175999831408262
4274,1326,543,5586,0.8406513769289794,0.8081597222222222,0.911404796867352,0.856682769726248,0.2367857142857143,0.7632142857142857,0.8373095412908189,0.8703285560103796,0.8942505477472438,0.5893085514536619,11729,mendeley,mendeley,logistic,11,validation_f1,-0.9914124011993408,0.07408010005019605,0.0005175999831408262
5508,92,5411,718,0.5308210418620514,0.8864197530864197,0.11714798498939469,0.2069462458567517,0.016428571428571428,0.9835714285714285,0.5503597067804116,0.8703285560103796,0.8942505477472438,0.069059595873476,11729,mendeley,mendeley,logistic,11,validation_fpr_limit,3.0578999519348145,0.07408010005019605,0.0005175999831408262
90,1466,63,1454,0.5024406117800195,0.49794520547945204,0.958470665787739,0.6553977913004282,0.9421593830334191,0.05784061696658098,0.50815564137716,0.5245849014165906,0.5282731866608599,0.9502115196876016,3073,mendeley,iscx,random_forest,11,default,0.5000000000000001,1.0225800999905914,0.04389859992079437
44,1512,11,1506,0.5043931012040351,0.4990059642147117,0.992748846407383,0.664167585446527,0.9717223650385605,0.028277634961439587,0.5105132406844113,0.5245849014165906,0.5282731866608599,0.9821021802798569,3073,mendeley,iscx,random_forest,11,validation_f1,0.3335,1.0225800999905914,0.04389859992079437
1129,427,985,532,0.5405141555483242,0.5547445255474452,0.35069215557020433,0.4297253634894992,0.2744215938303342,0.7255784061696658,0.5381352808699351,0.5245849014165906,0.5282731866608599,0.3120728929384966,3073,mendeley,iscx,random_forest,11,validation_fpr_limit,0.991,1.0225800999905914,0.04389859992079437
4299,1301,569,5560,0.8405661181686418,0.810377495991838,0.9071626692772067,0.8560431100846805,0.23232142857142857,0.7676785714285714,0.8374206203528891,0.9011075409763927,0.9112094579633128,0.584960354676443,11729,mendeley,mendeley,random_forest,11,default,0.5000000000000001,1.0225800999905914,0.0783542999997735
3552,2048,142,5987,0.8132833148606019,0.7451151213441195,0.9768314570076685,0.8453826602654617,0.3657142857142857,0.6342857142857142,0.8055585856466914,0.9011075409763927,0.9112094579633128,0.6850541393128143,11729,mendeley,mendeley,random_forest,11,validation_f1,0.3335,1.0225800999905914,0.0783542999997735
5560,40,5078,1051,0.5636456645920368,0.9633363886342805,0.17147984989394682,0.29113573407202215,0.007142857142857143,0.9928571428571429,0.5821684963755449,0.9011075409763927,0.9112094579633128,0.09301730752834854,11729,mendeley,mendeley,random_forest,11,validation_fpr_limit,0.991,1.0225800999905914,0.0783542999997735
0,1556,32,1485,0.4832411324438659,0.4883262084840513,0.978905735003296,0.651601579640193,1.0,0.0,0.489452867501648,0.420750046455709,0.2299161347064037,0.9895867230719166,3073,mendeley,iscx,mlp,11,default,5e-324,0.9729989001061767,0.0031663000117987394
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.420750046455709,0.2299161347064037,1.0,3073,mendeley,iscx,mlp,11,validation_f1,-1.5846493244171143,0.9729989001061767,0.0031663000117987394
841,715,1191,326,0.37975919297103805,0.31316042267050914,0.2148978246539222,0.254886630179828,0.45951156812339333,0.5404884318766067,0.37769312826526447,0.420750046455709,0.2299161347064037,0.3387569150667101,3073,mendeley,iscx,mlp,11,validation_fpr_limit,2.141573667526245,0.9729989001061767,0.0031663000117987394
4432,1168,837,5292,0.8290561855230625,0.8191950464396285,0.8634361233480177,0.8407339741043769,0.20857142857142857,0.7914285714285715,0.8274323473882945,0.8759818397634129,0.8968369927510897,0.5507715917810555,11729,mendeley,mendeley,mlp,11,default,5e-324,0.9729989001061767,0.011891899863258004
4232,1368,530,5599,0.8381788728791884,0.8036457585761447,0.9135258606624246,0.8550702504581552,0.24428571428571427,0.7557142857142857,0.8346200731883551,0.8759818397634129,0.8968369927510897,0.5939977832722312,11729,mendeley,mendeley,mlp,11,validation_f1,-1.5846493244171143,0.9729989001061767,0.011891899863258004
5509,91,5268,861,0.5430983033506693,0.9044117647058824,0.14047968673519334,0.2431859906792826,0.01625,0.98375,0.5621148433675967,0.8759818397634129,0.8968369927510897,0.0811663398414187,11729,mendeley,mendeley,mlp,11,validation_fpr_limit,2.141573667526245,0.9729989001061767,0.011891899863258004
0,1556,2,1515,0.493003579563944,0.493324649951156,0.998681608437706,0.6604184829991282,1.0,0.0,0.499340804218853,0.3904597669648632,0.19458730785459732,0.9993491701919948,3073,mendeley,iscx,dqn,11,default,5e-324,1.7491387999616563,0.0031095000449568033
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.3904597669648632,0.19458730785459732,1.0,3073,mendeley,iscx,dqn,11,validation_f1,-1.0275791883468628,1.7491387999616563,0.0031095000449568033
