tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,default,0.5000000000000001,2.300133928656578e-06,3.4400029107928276e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,validation_f1,1.0,2.300133928656578e-06,3.4400029107928276e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.300133928656578e-06,3.4400029107928276e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,default,0.5000000000000001,2.300133928656578e-06,6.54999166727066e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,validation_f1,1.0,2.300133928656578e-06,6.54999166727066e-05
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.300133928656578e-06,6.54999166727066e-05
1369,187,319,1198,0.8353400585746827,0.8649819494584837,0.7897165458141068,0.8256374913852516,0.12017994858611825,0.8798200514138818,0.8347682986139943,0.9364943705576451,0.930786137570262,0.4506996420436056,3073,iscx,iscx,logistic,11,default,5e-324,0.02520060003735125,0.0003611999563872814
1298,258,181,1336,0.8571428571428571,0.8381430363864492,0.8806855636123929,0.8588878174220508,0.16580976863753213,0.8341902313624678,0.8574378974874304,0.9364943705576451,0.930786137570262,0.5187113569801497,3073,iscx,iscx,logistic,11,validation_f1,-0.47409725189208984,0.02520060003735125,0.0003611999563872814
1545,11,772,745,0.7452001301659616,0.9854497354497355,0.4911008569545155,0.6555213374395072,0.007069408740359897,0.9929305912596401,0.7420157241070778,0.9364943705576451,0.930786137570262,0.2460136674259681,3073,iscx,iscx,logistic,11,validation_fpr_limit,2.386249542236328,0.02520060003735125,0.0003611999563872814
160,5440,1008,5121,0.450251513342996,0.4848972635167124,0.8355359765051396,0.6136608747753146,0.9714285714285714,0.02857142857142857,0.43205370253828407,0.3515997250176772,0.1256767300654966,0.9004177679256543,11729,iscx,mendeley,logistic,11,default,5e-324,0.02520060003735125,0.0005367998965084553
