source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,ddqn,11,default,0.0036970982034819633,0.0022745643630964762,0.0009576134272148984,0.0046241790663696936,-0.002636783124588038,-0.005141388174807207,0.0012523025251095499,-0.0039049788480312597
iscx,iscx,ddqn,11,validation_f1,0.0036970982034819633,0.0022745643630964762,-0.00029416071415167,-0.003889096779246537,0.003295978905734964,0.004498714652956301,-0.0006013678736106476,0.0039049788480312597
iscx,iscx,ddqn,11,validation_fpr_limit,0.0036970982034819633,0.0022745643630964762,0.04368908648035774,0.001438381077297879,0.05735003295978902,0.0,0.028675016479894455,0.028311096648226508
iscx,iscx,ddqn,23,default,0.0031289995967641593,0.0018043154446690801,0.0013204071329624423,0.004792006338715016,-0.0019775873434410007,-0.005141388174807193,0.0015819004156830685,-0.003579563944028641
iscx,iscx,ddqn,23,validation_f1,0.0031289995967641593,0.0018043154446690801,-0.02321969245848199,-0.06365240944462325,0.02109426499670397,0.07712082262210798,-0.02801327881270188,0.049463065408395734
iscx,iscx,ddqn,23,validation_fpr_limit,0.0031289995967641593,0.0018043154446690801,0.031326918773774914,-0.00016490467426510946,0.04021094264996694,0.0006426735218508992,0.01978413456405792,0.020175724048161425
iscx,iscx,ddqn,37,default,0.000634968274249692,0.0005265940591039353,0.001079502653010378,0.0035190097259062414,-0.0013183915622940745,-0.003856041131105395,0.0012688247844055978,-0.00260331923202084
iscx,iscx,ddqn,37,validation_f1,0.000634968274249692,0.0005265940591039353,0.001080656253069967,0.0035245793147654636,-0.0013183915622940745,-0.003856041131105395,0.0012688247844055978,-0.00260331923202084
iscx,iscx,ddqn,37,validation_fpr_limit,0.000634968274249692,0.0005265940591039353,0.01874815084149095,-0.000500090222462779,0.02570863546473301,0.0006426735218508992,0.012532980971440955,0.013016596160104144
iscx,iscx,ddqn,51,default,0.003858882126459684,0.0028325083500957415,0.00019863842587830582,0.01119094482938876,-0.010547132498352041,-0.012853470437017997,0.0011531689693329294,-0.011714936544093724
iscx,iscx,ddqn,51,validation_f1,0.003858882126459684,0.0028325083500957415,-0.007306334755596944,-0.026273986608645772,0.012524719841793042,0.030848329048843187,-0.009161804603525114,0.02180279856817441
iscx,iscx,ddqn,51,validation_fpr_limit,0.003858882126459684,0.0028325083500957415,0.05501297776221403,-0.002835035719403134,0.07317073170731714,0.0025706940874035984,0.03530001880995681,0.03742271396029939
iscx,iscx,ddqn,71,default,0.0027637283761939857,0.001963606970190268,0.010476082337708359,-0.011040908511347092,0.029004614370468085,0.012853470437018004,0.008075571966725037,0.020826553856166607
iscx,iscx,ddqn,71,validation_f1,0.0027637283761939857,0.001963606970190268,0.0009542054691074053,0.004597883597883601,-0.002636783124587927,-0.005141388174807193,0.0012523025251096609,-0.0039049788480312597
iscx,iscx,ddqn,71,validation_fpr_limit,0.0027637283761939857,0.001963606970190268,0.01776588982966376,-0.00044772686196870026,0.024390243902438935,0.0006426735218508992,0.01187378519029414,0.012365766352098906
iscx,iscx,dqn,11,default,0.003944444756296295,0.0023482790584173907,0.00017465857481013813,0.005046968282262365,-0.004614370468029039,-0.005784061696658099,0.0005848456143144887,-0.00520663846404168
iscx,iscx,dqn,11,validation_f1,0.003944444756296295,0.0023482790584173907,0.00042793546158892415,-0.003769645552236578,0.004614370468028928,0.004498714652956301,5.7827907536278644e-05,0.004555808656036442
iscx,iscx,dqn,11,validation_fpr_limit,0.003944444756296295,0.0023482790584173907,0.052067113504895235,0.0017333880837142601,0.06789716545814106,0.0,0.03394858272907053,0.03351773511226813
iscx,iscx,dqn,23,default,0.003770965069386678,0.0021534011282585697,0.00038760548406391315,0.009698186790031538,-0.00856954515491093,-0.010925449871465293,0.0011779523582771123,-0.009762447120078066
iscx,iscx,dqn,23,validation_f1,0.003770965069386678,0.0021534011282585697,-0.021725470912046352,-0.06066297486736627,0.02109426499670397,0.07390745501285348,-0.02640659500807474,0.047835990888382696
iscx,iscx,dqn,23,validation_fpr_limit,0.003770965069386678,0.0021534011282585697,0.05380748463973195,0.0016719983153923312,0.06723796967699402,0.0,0.0336189848384969,0.03319232020826551
iscx,iscx,dqn,37,default,0.0007760517432849889,0.000518121105618885,0.0004844174291674941,-0.0010479375696766935,0.0019775873434410007,0.0012853470437018122,0.0003461201498695665,0.0016270745200129832
iscx,iscx,dqn,37,validation_f1,0.0007760517432849889,0.000518121105618885,0.0011356073465967897,0.006290913379368046,-0.0039551746868820015,-0.007069408740359898,0.0015571170267388856,-0.0055320533680442985
iscx,iscx,dqn,37,validation_fpr_limit,0.0007760517432849889,0.000518121105618885,0.01874815084149095,-0.000500090222462779,0.02570863546473301,0.0006426735218508992,0.012532980971440955,0.013016596160104144
iscx,iscx,dqn,51,default,0.0024083522047451122,0.0018860794458009922,-0.0006354153254605199,0.008860679330641386,-0.009887936717205004,-0.0102827763496144,0.0001974198162046914,-0.01008786202408074
iscx,iscx,dqn,51,validation_f1,0.0024083522047451122,0.0018860794458009922,-0.009113288156782806,-0.023352074327853578,0.005932762030323002,0.026992287917737792,-0.010529762943707333,0.01659616010413273
iscx,iscx,dqn,51,validation_fpr_limit,0.0024083522047451122,0.0018860794458009922,0.036204319466021095,-0.0032351957834287903,0.04943968358602513,0.0025706940874035984,0.023434494749310808,0.025707777416205668
