tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,specificity,balanced_accuracy,average_precision,roc_auc,predicted_malicious_fraction,n,source,target,model,seed,operating_point,threshold,fit_seconds,inference_seconds
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,default,0.5000000000000001,2.600019797682762e-06,5.449983291327953e-05
0,1556,0,1517,0.4936544093719492,0.4936544093719492,1.0,0.6610021786492375,1.0,0.0,0.5,0.4936544093719492,0.5,1.0,3073,iscx,iscx,always_malicious,11,validation_f1,1.0,2.600019797682762e-06,5.449983291327953e-05
1556,0,1517,0,0.5063455906280507,0.0,0.0,0.0,0.0,1.0,0.5,0.4936544093719492,0.5,0.0,3073,iscx,iscx,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.600019797682762e-06,5.449983291327953e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,default,0.5000000000000001,2.600019797682762e-06,5.440018139779568e-05
0,5600,0,6129,0.5225509421093018,0.5225509421093018,1.0,0.6864150520775003,1.0,0.0,0.5,0.5225509421093018,0.5,1.0,11729,iscx,mendeley,always_malicious,11,validation_f1,1.0,2.600019797682762e-06,5.440018139779568e-05
5600,0,6129,0,0.47744905789069825,0.0,0.0,0.0,0.0,1.0,0.5,0.5225509421093018,0.5,0.0,11729,iscx,mendeley,always_malicious,11,validation_fpr_limit,1.0000000000000002,2.600019797682762e-06,5.440018139779568e-05
1385,171,239,1278,0.8665798893589326,0.8819875776397516,0.8424522083058669,0.8617666891436278,0.10989717223650386,0.8901028277634961,0.8662775180346816,0.9130877806459082,0.929588909242806,0.4715261958997722,3073,iscx,iscx,logistic,11,default,5e-324,0.024150599958375096,0.00045779999345541
1385,171,239,1278,0.8665798893589326,0.8819875776397516,0.8424522083058669,0.8617666891436278,0.10989717223650386,0.8901028277634961,0.8662775180346816,0.9130877806459082,0.929588909242806,0.4715261958997722,3073,iscx,iscx,logistic,11,validation_f1,0.011455059051513672,0.024150599958375096,0.00045779999345541
1549,7,1369,148,0.5522290920924179,0.9548387096774194,0.0975609756097561,0.17703349282296652,0.004498714652956298,0.9955012853470437,0.5465311304784,0.9130877806459082,0.929588909242806,0.050439310120403515,3073,iscx,iscx,logistic,11,validation_fpr_limit,4.028162956237793,0.024150599958375096,0.00045779999345541
2007,3593,2189,3940,0.5070338477278541,0.5230319925660427,0.6428454886604666,0.5767823159127506,0.6416071428571428,0.3583928571428571,0.5006191729016619,0.631953225176032,0.5599804646528215,0.6422542416233268,11729,iscx,mendeley,logistic,11,default,5e-324,0.024150599958375096,0.0005852999165654182
