source,target,model,seed,operating_point,average_precision,roc_auc,f1,recall,precision,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,ddqn,11,default,-0.016574536116113925,-0.016030192522449083,-0.06236127508854783,0.03889255108767298,-0.14498268277364834,0.19537275064267354,-0.07824009977750024,0.11812561015294498
iscx,iscx,ddqn,11,validation_f1,-0.016574536116113925,-0.016030192522449083,-0.04173072669652844,-0.06789716545814106,-0.013600911646848846,0.007069408740359898,-0.03748328709925042,-0.02993817116823949
iscx,iscx,ddqn,11,validation_fpr_limit,-0.016574536116113925,-0.016030192522449083,-0.008455688199825895,-0.009887936717205004,-0.0024685459468067883,0.0012853470437018,-0.005586641880453436,-0.004230393752033823
iscx,iscx,ddqn,23,default,-0.01878005341035538,-0.01807047972168052,-0.04954104568089568,0.04284772577455498,-0.12878512605918002,0.16773778920308482,-0.062445031714264965,0.1060852587048487
iscx,iscx,ddqn,23,validation_f1,-0.01878005341035538,-0.01807047972168052,-0.051774408673864625,-0.014502307185234042,-0.08619751497164574,0.09897172236503857,-0.05673701477513626,0.04295476732834369
iscx,iscx,ddqn,23,validation_fpr_limit,-0.01878005341035538,-0.01807047972168052,0.007984417690771517,0.011865524060646004,-0.00518442437696498,0.0032133676092544992,0.004326078225695751,0.007484542792059901
iscx,iscx,ddqn,37,default,-0.021866368357181476,-0.01962420756702532,-0.06236127508854783,0.03889255108767298,-0.14498268277364834,0.19537275064267354,-0.07824009977750024,0.11812561015294498
iscx,iscx,ddqn,37,validation_f1,-0.021866368357181476,-0.01962420756702532,-0.05341118336713058,-0.009887936717205004,-0.09344032484168796,0.10861182519280205,-0.05924988095500361,0.05011389521640097
iscx,iscx,ddqn,37,validation_fpr_limit,-0.021866368357181476,-0.01962420756702532,-0.06239465767382357,-0.07778510217534607,-0.0052118256629076765,0.0019280205655526992,-0.03985656137044935,-0.03742271396029939
iscx,iscx,ddqn,51,default,-0.019926319433484108,-0.018275948843695877,-0.05322446160757077,-0.010547132498352041,-0.09196468722633788,0.10796915167095117,-0.05925814208465163,0.04946306540839568
iscx,iscx,ddqn,51,validation_f1,-0.019926319433484108,-0.018275948843695877,-0.05322446160757077,-0.010547132498352041,-0.09196468722633788,0.10796915167095117,-0.05925814208465163,0.04946306540839568
iscx,iscx,ddqn,51,validation_fpr_limit,-0.019926319433484108,-0.018275948843695877,-0.08066610088868587,-0.09492419248516809,0.0006932120674356668,-0.0012853470437017992,-0.04681942272073303,-0.04751057598438008
iscx,iscx,ddqn,71,default,-0.02071502299584571,-0.019015002211441034,-0.03394140959556746,0.028345418589321048,-0.09940953861537172,0.11053984575835477,-0.04109721358451679,0.06996420436055967
iscx,iscx,ddqn,71,validation_f1,-0.02071502299584571,-0.019015002211441034,-0.0417417691854689,-0.06789716545814106,-0.013702585885684404,0.007069408740359898,-0.03748328709925042,-0.02993817116823949
iscx,iscx,ddqn,71,validation_fpr_limit,-0.02071502299584571,-0.019015002211441034,-0.055201799029470866,-0.06987475280158206,-0.002918418356109287,0.0006426735218508992,-0.03525871316171636,-0.03416856492027337
iscx,iscx,dqn,11,default,-0.016275037197155062,-0.015848235846354974,-0.06451689889303003,0.039551746868820015,-0.14852196917414306,0.20179948586118251,-0.08112386949618133,0.12170517409697362
iscx,iscx,dqn,11,validation_f1,-0.016275037197155062,-0.015848235846354974,-0.04023648125793178,-0.06526038233355314,-0.013335450367990442,0.007069408740359898,-0.036164895536956565,-0.02863651155222907
iscx,iscx,dqn,11,validation_fpr_limit,-0.016275037197155062,-0.015848235846354974,-0.0058954372843429415,-0.006591957811469928,-0.0024088354265456857,0.0012853470437018,-0.0039386524275858426,-0.00260331923202084
iscx,iscx,dqn,23,default,-0.018139881942440317,-0.017770325344467874,-0.05047384732979421,0.03625576796308505,-0.1238789456078635,0.16195372750642673,-0.06284897977167092,0.09990237552879927
iscx,iscx,dqn,23,validation_f1,-0.018139881942440317,-0.017770325344467874,-0.04983002325997499,-0.01516150296638108,-0.08181467549889776,0.09383033419023137,-0.05449591857830627,0.040026033192320176
iscx,iscx,dqn,23,validation_fpr_limit,-0.018139881942440317,-0.017770325344467874,0.029417240737292905,0.037574159525379014,-0.003389218304678976,0.0025706940874036,0.017501732718987695,0.019850309144158806
iscx,iscx,dqn,37,default,-0.0211839561031385,-0.019221530452641966,-0.06295636031239071,0.04218852999340805,-0.14954963006923128,0.20051413881748076,-0.07916280441203627,0.1223560039049788
iscx,iscx,dqn,37,validation_f1,-0.0211839561031385,-0.019221530452641966,-0.04125364881813953,-0.06921555702043503,-0.011318851851989664,0.004498714652956301,-0.0368571358366957,-0.03189066059225515
iscx,iscx,dqn,37,validation_fpr_limit,-0.0211839561031385,-0.019221530452641966,-0.041412048712492155,-0.052076466710613056,-0.004437657728017186,0.0019280205655526992,-0.0270022436380829,-0.024731532704197867
iscx,iscx,dqn,51,default,-0.019818619275087324,-0.01789487776070009,-0.05400811582506759,0.03230059327620305,-0.12614992410101467,0.1658097686375321,-0.06675458768066456,0.09990237552879916
iscx,iscx,dqn,51,validation_f1,-0.019818619275087324,-0.01789487776070009,-0.0532473026722764,-0.017798286090969007,-0.08523870337766393,0.09897172236503855,-0.058385004228003745,0.04132769280833065
iscx,iscx,dqn,51,validation_fpr_limit,-0.019818619275087324,-0.01789487776070009,-0.05532809685573303,-0.06855636123928799,0.0011832319134550406,-0.0012853470437017992,-0.03363550709779295,-0.03449397982427593
