source,target,seed,operating_point,average_precision_ddqn_minus_dqn,roc_auc_ddqn_minus_dqn,f1_ddqn_minus_dqn,precision_ddqn_minus_dqn,recall_ddqn_minus_dqn,fpr_ddqn_minus_dqn,balanced_accuracy_ddqn_minus_dqn
iscx,iscx,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,mendeley,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,iscx,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mendeley,mendeley,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
