source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy,predicted_malicious_fraction
iscx,iscx,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,ddqn,11,default,0.002260677675117506,0.0007829009020308142,-0.0009054058838107171,-0.0018443997317236782,0.0,0.0019280205655527044,-0.000964010282776262,0.000976244712007801
iscx,iscx,ddqn,11,validation_f1,0.002260677675117506,0.0007829009020308142,-0.01197096465543912,-0.057032601090057256,0.03823335530652605,0.07262210796915167,-0.01719437633131282,0.055645948584445215
iscx,iscx,ddqn,11,validation_fpr_limit,0.002260677675117506,0.0007829009020308142,0.01637551818817562,0.0013233054543841938,0.02373104812129201,-0.0006426735218508992,0.012186860821571499,0.011389521640091105
iscx,iscx,ddqn,23,default,0.0013263013947800717,0.0012582335925491739,0.009703480823780586,0.031103600849351265,-0.011206328279499078,-0.034061696658097676,0.011427684189299292,-0.02277904328018221
iscx,iscx,ddqn,23,validation_f1,0.0013263013947800717,0.0012582335925491739,-0.0006974801645769357,-0.01033666362926322,0.00856954515491104,0.011568123393316199,-0.001499289119202496,0.010087862024080685
iscx,iscx,ddqn,23,validation_fpr_limit,0.0013263013947800717,0.0012582335925491739,0.0029252086540799693,0.0019079422287094916,0.003295978905734964,-0.0012853470437017992,0.0022906629747183604,0.000976244712007801
iscx,iscx,ddqn,37,default,0.0007877394967696905,-0.0007680732334316431,0.008030680903021281,-0.008417478330801531,0.022412656558998045,0.009640102827763494,0.006386276865617213,0.015945330296127547
iscx,iscx,ddqn,37,validation_f1,0.0007877394967696905,-0.0007680732334316431,0.01676645596413151,0.04908131078697475,-0.01911667765326308,-0.060411311053984576,0.020647316700360796,-0.04002603319232023
iscx,iscx,ddqn,37,validation_fpr_limit,0.0007877394967696905,-0.0007680732334316431,-0.03965758340758341,0.005054894632577689,-0.05800922874093606,-0.0038560411311053984,-0.02707659380491534,-0.03058900097624473
iscx,iscx,ddqn,51,default,0.0017886173330862176,0.001180706068159898,0.0006191438585393394,0.023907774939411763,-0.019775873434410007,-0.024421593830334182,0.002322860197962018,-0.022128213472177027
iscx,iscx,ddqn,51,validation_f1,0.0017886173330862176,0.001180706068159898,0.024025364689695405,0.06350395155415023,-0.01713909030982208,-0.07326478149100257,0.028062845590590246,-0.04555808656036442
iscx,iscx,ddqn,51,validation_fpr_limit,0.0017886173330862176,0.001180706068159898,0.014775654782692826,-0.004046280347102638,0.02373104812129201,0.0032133676092544975,0.010258840256018753,0.013342011064106762
iscx,iscx,ddqn,71,default,0.0006486082816140604,-0.00013938008483105335,0.0008670811272054602,0.02132801030158371,-0.016479894528675043,-0.021208226221079693,0.0023641658462023596,-0.018874064432151005
iscx,iscx,ddqn,71,validation_f1,0.0006486082816140604,-0.00013938008483105335,0.015362683174643066,0.051152041663497294,-0.023071852340145083,-0.061696658097686374,0.019312402878770674,-0.04262935242434107
iscx,iscx,ddqn,71,validation_fpr_limit,0.0006486082816140604,-0.00013938008483105335,-0.006772826237528506,0.0054190143806239766,-0.012524719841793042,-0.0038560411311053984,-0.004334339355343775,-0.008135372600065083
iscx,iscx,dqn,11,default,0.0020707681537740497,0.0005367616032861955,-0.000220981260789066,0.017915050440097557,-0.018457481872116044,-0.021208226221079693,0.0013753721744819147,-0.019850309144158806
iscx,iscx,dqn,11,validation_f1,0.0020707681537740497,0.0005367616032861955,-0.0007365707370968755,-0.013417517422916525,0.014502307185233931,0.01928020565552699,-0.0023889492351464314,0.016921575008135403
iscx,iscx,dqn,11,validation_fpr_limit,0.0020707681537740497,0.0005367616032861955,0.036614887887700176,0.001906544232339824,0.05273566249175998,-0.0006426735218508992,0.02668916800680543,0.025707777416205668
iscx,iscx,dqn,23,default,0.0011124646799822724,0.0010294638484493746,0.003495389931577275,0.02782729712714138,-0.020435069215557045,-0.03149100257069408,0.005527966677568608,-0.026033192320208287
iscx,iscx,dqn,23,validation_f1,0.0011124646799822724,0.0010294638484493746,0.018472083368988756,0.059938094824843025,-0.026367831245880047,-0.07262210796915167,0.023127138361635824,-0.0497884803123983
iscx,iscx,dqn,23,validation_fpr_limit,0.0011124646799822724,0.0010294638484493746,0.0024953448076079354,0.00465094238623176,0.0013183915622939635,-0.0032133676092544984,0.0022658795857741776,-0.000976244712007801
iscx,iscx,dqn,37,default,0.0005743356624523521,-0.0008138271822515364,0.007211027305589868,-0.007868699248968936,0.020435069215557045,0.008997429305912595,0.005718819954822152,0.014643670680117182
iscx,iscx,dqn,37,validation_f1,0.0005743356624523521,-0.0008138271822515364,0.00032499111435557726,0.006330956374789198,-0.005932762030323113,-0.00771208226221079,0.0008896601159438244,-0.006833712984054663
iscx,iscx,dqn,37,validation_fpr_limit,0.0005743356624523521,-0.0008138271822515364,-0.04125955872208753,0.00953950000706072,-0.0626235992089651,-0.007069408740359898,-0.027777095234302607,-0.03449397982427593
iscx,iscx,dqn,51,default,0.0012711752605406579,0.0006837673462540828,0.004012406571375915,0.02011838254855014,-0.009887936717205004,-0.019922879177377888,0.0050174712300864455,-0.014969085584119746
iscx,iscx,dqn,51,validation_f1,0.0012711752605406579,0.0006837673462540828,0.024549531761728693,0.07350083171244037,-0.02768622280817412,-0.08740359897172237,0.029858688081774054,-0.05792385291246338
iscx,iscx,dqn,51,validation_fpr_limit,0.0012711752605406579,0.0006837673462540828,0.015360067034823288,-0.007744703147002041,0.026367831245880047,0.005784061696658097,0.01029188477461096,0.015945330296127602
