source,target,model,seed,operating_point,average_precision,roc_auc,f1,precision,recall,fpr,balanced_accuracy
iscx,iscx,always_malicious,11,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,11,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,23,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,37,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,51,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,default,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,always_malicious,71,validation_fpr_limit,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iscx,iscx,ddqn,11,default,0.0009129094862689868,0.0005715007125756122,0.004552526229394505,-0.008169934640522847,0.01713909030982208,0.0102827763496144,0.0034281569801039025
iscx,iscx,ddqn,11,validation_f1,0.0009129094862689868,0.0005715007125756122,0.011071793355407644,0.00897211602842396,0.013183915622940079,-0.008354755784061696,0.010769335703500804
iscx,iscx,ddqn,11,validation_fpr_limit,0.0009129094862689868,0.0005715007125756122,0.000587609373327802,-0.0008802236326093116,0.0013183915622939635,0.0006426735218508992,0.0003378590202216536
iscx,iscx,ddqn,23,default,0.0014631818516314121,0.001045138812397095,0.009464155502603933,0.022967448571366123,-0.0039551746868820015,-0.025064267352185088,0.010554546332651515
iscx,iscx,ddqn,23,validation_f1,0.0014631818516314121,0.001045138812397095,0.0022518294028458508,-0.0036819649782754427,0.007910349373764003,0.004498714652956301,0.0017058173604038718
iscx,iscx,ddqn,23,validation_fpr_limit,0.0014631818516314121,0.001045138812397095,0.005309853474929405,-0.0016982077189038325,0.00856954515491093,0.0012853470437018,0.0036420990556045307
iscx,iscx,ddqn,37,default,0.0009947281012596676,-0.0001258233592550395,0.004194139194139135,0.027306826706676723,-0.014502307185234042,-0.02570694087403599,0.005602316844400934
iscx,iscx,ddqn,37,validation_f1,0.0009947281012596676,-0.0001258233592550395,0.018886215950157048,0.08665209079290637,-0.05075807514831909,-0.10218508997429307,0.025713507412987058
iscx,iscx,ddqn,37,validation_fpr_limit,0.0009947281012596676,-0.0001258233592550395,0.004676533346786971,-0.0007979694297826079,0.007251153592617077,0.0006426735218508992,0.003304240035383099
iscx,iscx,ddqn,51,default,-4.807255227223806e-07,0.00015547869645293755,-0.002587833194637068,0.0032816972102700515,-0.007910349373764003,-0.003856041131105395,-0.0020271541213293665
iscx,iscx,ddqn,51,validation_f1,-4.807255227223806e-07,0.00015547869645293755,0.018312617398017927,0.048527128428130006,-0.013843111404087005,-0.05719794344473007,0.021677416020321583
iscx,iscx,ddqn,51,validation_fpr_limit,-4.807255227223806e-07,0.00015547869645293755,0.009828325567448948,-0.004220116435474597,0.016479894528675043,0.0032133676092544975,0.00663326345971027
iscx,iscx,ddqn,71,default,0.000384373991414666,0.00017073001272649435,0.008588542932968957,-0.0037534775711034474,0.019775873434410007,0.005141388174807193,0.007317242629801379
iscx,iscx,ddqn,71,validation_f1,0.000384373991414666,0.00017073001272649435,0.00324585956718193,-0.010989137418327521,0.020435069215556934,0.017352185089974298,0.0015414420627912762
iscx,iscx,ddqn,71,validation_fpr_limit,0.000384373991414666,0.00017073001272649435,-0.006235387206650178,-0.0010600654731049985,-0.00856954515491104,0.0006426735218508992,-0.004606109338381015
iscx,iscx,dqn,11,default,0.0011957772371733455,0.0007769698345909681,-0.005162190667284072,0.003289763150591263,-0.013843111404087005,-0.005141388174807207,-0.004350861614639823
iscx,iscx,dqn,11,validation_f1,0.0011957772371733455,0.0007769698345909681,-0.00024149211943291782,-0.009842864078448366,0.011206328279498967,0.014138817480719795,-0.0014662446006104002
iscx,iscx,dqn,11,validation_fpr_limit,0.0011957772371733455,0.0007769698345909681,0.009285325412926593,0.00027109968877747637,0.013183915622939968,0.0,0.006591957811469928
iscx,iscx,dqn,23,default,0.001394483631319221,0.0006824964032312586,0.003982188866167635,0.02323672669345689,-0.015161502966380969,-0.026349614395886886,0.005594055714753021
iscx,iscx,dqn,23,validation_f1,0.001394483631319221,0.0006824964032312586,0.020878352332868277,0.06480862133036047,-0.026367831245880047,-0.07776349614395886,0.02569783244903945
iscx,iscx,dqn,23,validation_fpr_limit,0.001394483631319221,0.0006824964032312586,0.009409592178762693,0.0011641583668079436,0.013183915622939968,-0.0006426735218508992,0.006913294572395312
iscx,iscx,dqn,37,default,0.00015668588591255528,-0.0004988451364401625,-0.008648690470455578,0.02712327984988183,-0.03691496374423209,-0.02634961439588689,-0.005282674674172538
iscx,iscx,dqn,37,validation_f1,0.00015668588591255528,-0.0004988451364401625,-0.01608385741528917,-0.05333996188955936,0.027027027027026973,0.06876606683804627,-0.02086951990550967
iscx,iscx,dqn,37,validation_fpr_limit,0.00015668588591255528,-0.0004988451364401625,-9.774606461010471e-05,0.0036088335627505463,-0.0019775873434410007,-0.0025706940874036,0.0002965533719812008
iscx,iscx,dqn,51,default,0.0004537864386615631,0.0003842484405529589,0.0030941987159414097,-0.014923860154982815,0.019775873434410007,0.0167095115681234,0.0015331809331433632
iscx,iscx,dqn,51,validation_f1,0.0004537864386615631,0.0003842484405529589,0.0238218548324719,0.07339400186089273,-0.029004614370468085,-0.08740359897172237,0.029199492300627128
